"FILARE","PIANTA","X","Y","Area","Perimetro","Roughness","MISSING","LAT","LON","dist_bound","L_moran_30","L_moran_50","L_moran_30_p","L_moran_50_r","Underperc","L_moran_5","L_moran_100","Line_res","candidate","pred_mglm","pred_rdtree"
1,47,934,2116,452,88.083,0.73209,0,43.07664861,10.69514856,1.36474180468002e-07,-0.0278943908215324,-0.0402661095516991,-0.0425149974968728,0.05350329012739,0,0.0262900163989344,-0.0424148817522017,-1.46546277512829,0,0,0
1,48,923,2095,494,91.983,0.73371,0,43.07665558,10.69514491,7.2685156562823e-08,0.0472067857505733,0.0553110709685567,0.0270405314447612,0.0522166578192764,0,-0.0224139194777398,0.0785361031033143,-30.5463275600359,0,0,0
1,49,912,2074,503,90.083,0.77891,0,43.07666255,10.69514125,0,0.064073113546645,0.0553819383865896,-0.00529830995653465,0.116371120946841,0,0.0783583323870677,0.100650476409475,-31.7074096529615,0,0,0
1,50,902,2053,499,94.083,0.70841,0,43.07666951,10.69513793,2.22359438346591e-07,0.0414815392573285,0.0440918705570241,0.0545977275467556,0.000194553747039785,0,0.0723989878479845,0.0844985153068191,-22.1691709041601,0,0,0
1,51,891,2032,477,94.811,0.66682,0,43.07667648,10.69513427,1.4675665584057e-07,0.00961782835315713,0.0156819454309496,0.0404015842262462,-0.0756267641135689,0,0.0562405593046674,0.0247254201460354,6.61128700339401,0,0,0
1,52,880,2011,518,91.983,0.76936,0,43.07668345,10.69513061,7.11538685111705e-08,0.0090849665946543,0.0817342105592481,0.00127696322474172,0.119859334856995,0,0.240149453564407,0.0987724697300974,-30.3804704156422,0,0,0
1,53,869,1990,533,92.326,0.78576,0,43.07669042,10.69512696,4.44891075204038e-09,-0.00594149377706624,0.0961339916625231,-0.00352873420702955,0.153229767259015,0,0.23387703245862,0.102412876713057,-47.6597838605199,0,0,0
1,54,859,1969,545,94.569,0.7658,0,43.07669738,10.69512363,2.17910524351741e-07,0.0413452394020271,0.114494636189643,-0.00223266557057848,0.0649418267474111,0,0.25739831008275,0.0862534133792346,-66.4187270786118,0,0,0
1,55,848,1948,514,95.397,0.70975,0,43.07670435,10.69511998,1.51205566592611e-07,0.051741763881902,0.0930107072511671,0.00365283931253079,0.00197895861137652,0,0.0812195805742342,0.041915824984458,-42.6868341274436,0,0,0
1,56,837,1927,456,88.326,0.73451,0,43.07671132,10.69511632,7.5602784086591e-08,-0.0147751990935931,-0.0266288711655893,-0.0162011840704809,0.0638743183332368,0,0.0217156480580659,-0.00814597278244842,11.5063609354594,0,0,0
